2019 Rank; Country; Safety and Security; Personal Freedom; Governance; Social Capital; Investment Environment; Enterprise Conditions; Market Access and Infrastructure; Economic Quality; Living Conditions; Health; Education; Natural Environment
82;Suriname;55;50;82;68;138;121;94;98;72;106;101;20
84;Philippines;148;70;79;25;92;74;75;55;115;101;83;51
85;Vietnam;94;140;114;31;109;100;72;57;86;42;76;92
86;Jordan;90;121;74;107;58;59;66;126;61;80;96;151
87;Mongolia;59;63;63;67;103;92;121;96;108;100;58;130
88;Kyrgyzstan;65;100;100;37;98;106;120;87;93;89;77;60
89;Namibia;56;51;42;60;79;86;90;107;114;126;120;77
90;Guyana;81;65;76;79;96;107;101;124;82;116;92;74
91;Turkey;149;146;111;147;50;58;57;67;54;64;80;110
92;Azerbaijan;107;152;115;125;62;55;71;94;70;66;75;148
94;Belize;72;60;92;128;128;116;99;114;85;95;98;42
95;Tunisia;122;88;65;140;97;104;82;106;77;94;94;146
96;Ukraine;145;85;81;148;113;71;87;99;69;114;37;127
97;Cuba;95;155;135;46;90;153;98;86;80;27;40;94
99;Guatemala;116;79;107;64;89;108;76;74;113;98;117;89
100;Morocco;57;118;98;163;68;84;62;92;95;110;116;117
101;India;135;101;45;77;80;42;85;81;120;109;113;164
102;Ghana;99;47;55;59;106;69;115;142;116;117;111;101
103;Uzbekistan;63;147;148;22;87;129;103;65;100;41;81;160
104;Lebanon;144;107;122;146;102;78;83;136;51;82;84;140
105;Bolivia;77;73;125;119;115;150;119;127;99;108;95;34
106;Rwanda;121;114;64;71;42;50;105;84;145;105;128;97
107;Honduras;130;97;127;66;95;113;100;95;110;83;115;82
108;Turkmenistan;79;162;154;39;91;142;109;63;84;62;78;165
109;Nicaragua;104;113;137;106;105;138;97;115;105;78;114;63
110;Algeria;53;134;116;149;136;140;104;129;71;73;87;131
111;Senegal;100;61;61;54;124;88;125;125;118;122;142;103
112;Gabon;102;112;130;145;112;103;107;104;107;129;99;59
